[2026-07-05T03:20:14.579Z] GET http://localhost:8902/?debug → 200 (2ms, 464B)
[2026-07-05T03:20:14.585Z] GET http://localhost:8902/game.js → 200 (16ms, 1481635B)
[2026-07-05T03:20:14.585Z] GET http://localhost:8902/client.js → 200 (4ms, 115096B)
[2026-07-05T03:20:14.585Z] GET http://localhost:8902/game.css → 200 (2ms, 283B)
[2026-07-05T03:20:14.791Z] GET http://localhost:8902/api/arena → 200 (?ms, 5725B)
[2026-07-05T03:20:14.844Z] GET http://localhost:8902/api/drawing/legend-solar-kiln → 200 (1ms, 5864B)
[2026-07-05T03:20:14.844Z] GET http://localhost:8902/api/drawing/mock-submitted-1783218713126 → 200 (1ms, 7405B)
[2026-07-05T03:20:14.844Z] GET http://localhost:8902/api/drawing/mine-paper-spark → 200 (2ms, 5864B)
[2026-07-05T03:20:14.845Z] GET http://localhost:8902/api/drawing/mine-moss-bun → 200 (1ms, 7405B)
[2026-07-05T03:20:14.845Z] GET http://localhost:8902/api/drawing/community-bristle → 200 (1ms, 7405B)
[2026-07-05T03:20:14.845Z] GET http://localhost:8902/api/drawing/community-kelploaf → 200 (1ms, 7405B)
[2026-07-05T03:20:14.845Z] GET http://localhost:8902/api/drawing/community-rootwink → 200 (1ms, 7405B)
[2026-07-05T03:20:14.845Z] GET http://localhost:8902/api/drawing/community-staticjam → 200 (1ms, 5864B)
[2026-07-05T03:20:14.866Z] GET blob:http://localhost:8902/f5285ca2-5d9f-454b-b2fa-238d8c39dc72 → 200 (8ms, 5864B)
[2026-07-05T03:20:14.875Z] GET blob:http://localhost:8902/bd60d2ff-60c1-4964-adbb-b9cb2e74fffd → 200 (1ms, 7405B)
[2026-07-05T03:20:14.875Z] GET blob:http://localhost:8902/55647d0c-2d2e-400f-b837-d1a2e6dd0ceb → 200 (1ms, 5864B)
[2026-07-05T03:20:14.876Z] GET blob:http://localhost:8902/c6e2eabd-4b2b-47a7-9930-5a96fc4289b1 → 200 (1ms, 7405B)
[2026-07-05T03:20:14.876Z] GET blob:http://localhost:8902/b2934e5e-af53-47cf-8fa1-caa76d6b8953 → 200 (1ms, 7405B)
[2026-07-05T03:20:14.876Z] GET blob:http://localhost:8902/fde7f57a-da6e-4939-ab82-d297c64184c5 → 200 (1ms, 5864B)
[2026-07-05T03:20:14.876Z] GET blob:http://localhost:8902/4a9d5875-3e9e-40dc-92bf-409ea7bc9a09 → 200 (1ms, 7405B)
[2026-07-05T03:20:14.876Z] GET blob:http://localhost:8902/e3d8a87a-da16-4b6f-9178-c2d30c5e6a95 → 200 (1ms, 7405B)
[2026-07-05T03:20:19.848Z] POST http://localhost:8902/api/spar → 200 (8ms, 2383B)
