buildA,buildB,labelA,labelB,seedIndex,seed,winner,durationSeconds,timeout,hpA,hpB
brawler-base,brawler-base,Brawler base,Brawler base,0,2846755818,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,1,2863533437,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,2,2813200580,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,3,2829978199,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,4,2779645342,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,5,2796422961,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,6,2746090104,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,7,2762867723,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,8,2712534866,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,9,2729312485,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,10,4244566071,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,11,4227788452,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,12,4278121309,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,13,4261343690,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,14,4177455595,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,15,4160677976,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,16,4211010833,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,17,4194233214,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,18,4110345119,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,19,4093567500,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,20,3942127644,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,21,3958905263,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,22,3975682882,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,23,3992460501,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,24,3875017168,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,25,3891794787,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,26,3908572406,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,27,3925350025,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,28,4076348596,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,29,4093126215,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,30,4042940453,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,31,4026162834,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,32,4009385215,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,33,3992607596,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,34,3975829977,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,35,3959052358,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,36,3942274739,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,37,3925497120,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,38,4177161405,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,39,4160383786,a,13.45,false,0,0
