targetBuild,opponentBuild,targetLabel,opponentLabel,orientation,seedIndex,seed,targetWon,winner,durationSeconds,timeout,hpA,hpB
brawler-base,brawler-base,Brawler base,Brawler base,target-a,0,1667438816,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,0,62242821,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,1,1684216435,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,1,45465202,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,2,1700994054,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,2,28687583,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,3,1717771673,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,3,11909964,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,4,1734549292,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,4,4290099641,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,5,1751326911,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,5,4273322022,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,6,1768104530,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,6,4256544403,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,7,1784882149,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,7,4239766784,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,8,1801659768,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,8,196463773,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,9,1818437387,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,9,179686154,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,10,1258444665,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,10,2249884134,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,11,1241667046,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,11,2266661753,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,12,1224889427,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,12,2216328896,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,13,1208111808,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,13,2233106515,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,14,1325555141,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,14,2316994610,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,15,1308777522,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,15,2333772229,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,16,1291999903,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,16,2283439372,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,17,1275222284,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,17,2300216991,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,18,1392665617,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,18,2384105086,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,19,1375887998,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,19,2400882705,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,20,3506792706,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,20,2685955133,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,21,3523570325,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,21,2669177514,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,22,3473237468,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,22,2652399895,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,23,3490015087,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,23,2635622276,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,24,3439682230,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,24,2618844657,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,25,3456459849,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,25,2602067038,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,26,3406126992,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,26,2585289419,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,27,3422904611,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,27,2568511800,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,28,3641013658,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,28,2551734181,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,29,3657791277,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,29,2534956562,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,30,3607605515,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,30,2585142324,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,31,3590827896,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,31,2601919943,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,32,3641160753,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,32,2618697562,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,33,3624383134,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,33,2635475181,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,34,3674715991,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,34,2518031848,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,35,3657938372,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,35,2534809467,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,36,3708271229,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,36,2551587086,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,37,3691493610,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,37,2568364705,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,38,3473384563,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,38,2450921372,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,39,3456606944,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,39,2467698991,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,40,3708418324,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,40,336794283,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,41,3725195943,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,41,320016664,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,42,3741973562,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,42,370349521,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,43,3758751181,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,43,353571902,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,44,3641307848,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,44,403904759,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,45,3658085467,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,45,387127140,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,46,3674863086,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,46,437459997,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,47,3691640705,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,47,420682378,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,48,3574197372,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,48,202573331,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,49,3590974991,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,49,185795712,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,50,3809231133,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,50,235981474,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,51,3792453514,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,51,252759093,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,52,3775675895,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,52,202426236,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,53,3758898276,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,53,219203855,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,54,3742120657,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,54,168870998,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,55,3725343038,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,55,185648617,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,56,3708565419,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,56,135315760,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,57,3691787800,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,57,152093379,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,58,3675010181,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,58,370202426,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,59,3658232562,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,59,386980045,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,60,1225728070,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,60,135168665,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,61,1242505689,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,61,118391046,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,62,1192172832,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,62,101613427,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,63,1208950451,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,63,84835808,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,64,1292838546,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,64,202279141,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,65,1309616165,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,65,185501522,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,66,1259283308,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,66,168723903,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,67,1276060927,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,67,151946284,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,68,1359949022,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,68,269389617,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,69,1376726641,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,69,252611998,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,70,1326540879,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,70,34355856,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,71,1309763260,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,71,51133475,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,72,1360096117,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,72,67911094,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,73,1343318498,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,73,84688713,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,74,1259430403,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,74,101466332,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,75,1242652784,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,75,118243951,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,76,1292985641,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,76,135021570,false,a,13.45,false,0,0
