suite,targetBuild,opponentBuild,targetLabel,opponentLabel,orientation,seedIndex,seed,targetWon,winner,durationSeconds,timeout,hpA,hpB,powerUpTriggers,tier,winPoints
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,0,166058515,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,0,1292546242,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,1,149280896,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,1,1309323861,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,2,199613753,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,2,1258991004,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,3,182836134,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,3,1275768623,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,4,233168991,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,4,1225435766,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,5,216391372,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,5,1242213385,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,6,266724229,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,6,1191880528,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,7,249946610,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,7,1208658147,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,8,300279467,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,8,1426767194,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,9,283501848,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,9,1443544813,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,10,2983468304,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,10,1071043839,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,11,3000245923,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,11,1054266220,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,12,3017023542,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,12,1104599077,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,13,3033801161,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,13,1087821458,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,14,3050578780,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,14,1003933363,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,15,3067356399,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,15,987155744,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,16,3084134018,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,16,1037488601,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,17,3100911637,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,17,1020710982,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,18,3117689256,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,18,1205264791,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,19,3134466875,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,19,1188487172,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,20,3285906731,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,20,3452921284,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,21,3269129112,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,21,3469698903,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,22,3319461969,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,22,3486476522,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,23,3302684350,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,23,3503254141,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,24,3353017207,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,24,3385810808,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,25,3336239588,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,25,3402588427,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,26,3386572445,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,26,3419366046,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,27,3369794826,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,27,3436143665,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,28,3151685779,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,28,3318700332,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,29,3134908160,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,29,3335477951,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,30,3185093922,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,30,3553734093,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,31,3201871541,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,31,3536956474,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,32,3151538684,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,32,3520178855,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,33,3168316303,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,33,3503401236,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,34,3117983446,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,34,3486623617,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,35,3134761065,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,35,3469845998,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,36,3084428208,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,36,3453068379,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,37,3101205827,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,37,3436290760,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,38,3319314874,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,38,3419513141,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,39,3336092493,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,39,3402735522,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,40,1340100285,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,40,1103760434,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,41,1323322666,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,41,1120538053,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,42,1306545047,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,42,1070205196,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,43,1289767428,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,43,1086982815,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,44,1272989809,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,44,1036649958,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,45,1256212190,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,45,1053427577,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,46,1239434571,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,46,1003094720,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,47,1222656952,true,a,13.45,false,0,0,0,,
