suite,targetLabel,opponentLabel,total,targetWins,timeouts,stalledTimeouts,targetWinRate,timeoutRate,stalledTimeoutRate,closeFightRate,blowoutRate,averageSeconds,averagePowerUpTriggers,averageTargetPowerUpTriggers,averageDamageDealtBySource,averageDamageTakenBySource,targetAttackHitRates,verdict,arenaId,stageId,stageLabel,targetRole,opponentRole,powerUpId,targetBuild,swingFromBaseline,rarity,opponentRarity,rarityGap,comparisonKind,comparisonScope,peerCount,expectedBand,winRateConfidence95,targetUpgradeCount,opponentUpgradeCount,triggerRate,averageSpecificTriggers,combatRole,powerUpLabel,trigger,tier,winPoints,averageLoopWins,finalPowerUps,finalPowerUpMix,pickedPowerUpMix,triggeredPowerUpMix,source,variantId,baselineWinRate,roleAdjustedFieldShift,choiceSpread,contentDays,uniqueThemeCycles,uniqueArenas,uniqueGearWeekDays,checkpointDay,pullCount,discoveredCount,maxGearRank,weaponAcquisitionRate,epicWeaponAcquisitionRate,legendaryWeaponAcquisitionRate,level,inkEarned,inkSpent,collectionRatio,profileId,profileLabel,opponentField,tourNodeDaySevenP50,tourNodeDayFourteenP50,tourNodeDayThirtyP10,tourNodeDayThirtyP50,tourNodeDayThirtyP90,score,dealtBreakdown,takenBreakdown,hitRateBreakdown,interactionLift,gearCatalogCoverage,gearRankCoverage,powerUpCount,orientationGap,weaponOnlyWinRate,skillOnlyWinRate,minimumOrientationWinRate
role-matrix,Brawler base,Brawler base,1600,804,0,0,0.5025,0,0,1,0,10.55328125000004,0,0,"{""brawler_slam"":154.075625,""inkquake"":104.18}","{""brawler_slam"":153.876875,""inkquake"":104.355}","{""body_slam"":0.972578125}",WATCH_DURATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-matrix,Brawler base,Longshot base,1600,681,0,0,0.425625,0,0,0.425,0,18.759374999999572,0,0,"{""brawler_slam"":130.245625,""inkquake"":82.31}","{""longshot_quill"":104.99125,""nib_halo"":153.405625}","{""body_slam"":0.8204610088310134}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-matrix,Brawler base,Mage base,1600,920,0,0,0.575,0,0,1,0,18.604999999999908,0,0,"{""inkquake"":128.966875,""brawler_slam"":109.985625}","{""mage_bolt"":88.11375,""colorburst"":83.886875,""colorburst_echo"":60.00875,""paint_zone"":12}","{""body_slam"":1}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-matrix,Longshot base,Brawler base,1600,922,0,0,0.57625,0,0,0.424375,0,18.753906249999567,0,0,"{""longshot_quill"":104.945625,""nib_halo"":153.45625}","{""brawler_slam"":130.135,""inkquake"":82.27375}","{""piercing_quill"":0.9279067666455868,""nib_volley"":1}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-matrix,Longshot base,Longshot base,1600,812,1600,36,0.5075,1,0.0225,1,0,20,0,0,"{""longshot_quill"":123.35625}","{""longshot_quill"":123.341875}","{""piercing_quill"":0.9792857142857143}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-matrix,Longshot base,Mage base,1600,596,1600,0,0.3725,1,0,1,0,20,0,0,"{""longshot_quill"":100.024375,""nib_halo"":17.033125}","{""mage_bolt"":28,""colorburst"":63.864375,""colorburst_echo"":21,""paint_zone"":5}","{""piercing_quill"":0.8571428571428571,""nib_volley"":1}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-matrix,Mage base,Brawler base,1600,671,0,0,0.419375,0,0,1,0,18.601624999999913,0,0,"{""mage_bolt"":88.055625,""colorburst"":83.744375,""colorburst_echo"":60.04125,""paint_zone"":12}","{""inkquake"":129.055,""brawler_slam"":109.97}","{""color_bolt"":0.8571428571428571}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-matrix,Mage base,Longshot base,1600,1039,1600,0,0.649375,1,0,1,0,20,0,0,"{""mage_bolt"":28,""colorburst"":63.813125,""colorburst_echo"":21,""paint_zone"":5}","{""longshot_quill"":99.9325,""nib_halo"":17.010625}","{""color_bolt"":0.625}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-matrix,Mage base,Mage base,1600,810,254,0,0.50625,0.15875,0,0.99625,0,19.64937500000009,0,0,"{""mage_bolt"":39.98125,""colorburst"":153.333125,""paint_zone"":27.929375,""colorburst_echo"":9.77375}","{""mage_bolt"":39.80375,""colorburst"":152.46375,""paint_zone"":28.143125,""colorburst_echo"":10.738125}","{""color_bolt"":0.5824405960531615}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role-cycle,Brawler > Mage,Mage base,4000,2335,0,0,0.58375,0,0,1,0,18.59992499999929,0,0,"{""inkquake"":129.009,""brawler_slam"":109.9935}","{""mage_bolt"":88.03675,""colorburst"":83.619,""colorburst_echo"":60.02725,""paint_zone"":12}","{""body_slam"":1}",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
